2025-07-25 16:13:12 - Loaded training data with 5 records
2025-07-25 16:13:12 - Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-07-25 16:13:19 - Use pytorch device_name: cpu
2025-07-25 16:13:19 - Initialized model: all-MiniLM-L6-v2
2025-07-25 16:13:19 - Starting training for 10 epochs with 5 examples
2025-07-25 16:13:28 - Save model to trained_models/sbert
2025-07-25 16:13:30 - Model successfully saved to trained_models/sbert
2025-07-25 16:34:07 - Loaded training data with 2484 records
2025-07-25 16:34:07 - Skipping invalid row: 'match_score'
2025-07-25 16:34:07 - Skipping invalid row: 'match_score'
2025-07-25 16:34:07 - Skipping invalid row: 'match_score'
2025-07-25 16:34:07 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
2025-07-25 16:34:08 - Skipping invalid row: 'match_score'
